"행정구역별(읍면동)",2015,2016,2017,2018,2019,2020,2021,2022
"행정구역별(읍면동)",총인구 (명),총인구 (명),총인구 (명),총인구 (명),총인구 (명),총인구 (명),총인구 (명),총인구 (명)
"남구",243870,242145,239044,236268,233172,228937,228869,227243
"북구",267934,268215,267865,268114,268892,272172,272382,269365
"경주시",262310,262769,262264,264282,264314,261778,261102,259674
"김천시",137540,139709,140765,139894,139902,139145,137962,137698
"안동시",168581,167664,165704,162186,160344,159412,158064,156025
"구미시",421075,422237,423003,422195,420319,416603,413963,409171
"영주시",109266,108950,108443,107034,105235,103818,102414,101521
"영천시",97669,97295,97675,98686,100487,100353,99859,99741
"상주시",98760,99484,98189,97558,96641,95473,93722,93208
"문경시",71863,71038,70016,68895,68542,68212,67669,67515
"경산시",278500,279751,282626,284517,290088,283733,293418,295543
"군위군",22012,22079,22230,22277,22206,22096,21285,21797
"의성군",51021,50683,50082,49621,49477,49243,48021,47775
"청송군",24732,24593,24441,24160,23958,23761,23288,23173
"영양군",16781,16755,16579,16559,16146,15743,15558,15333
"영덕군",36539,36765,36148,36096,35672,34893,33927,33516
"청도군",41596,41612,41278,40878,41054,41378,40071,40045
"고령군",34117,33417,33094,32660,32191,31419,30399,30142
"성주군",41179,41388,41225,41299,41314,41574,40804,40851
"칠곡군",122462,122613,121778,120983,118517,115756,114564,113549
"예천군",42702,44212,46321,51082,53020,53718,54267,54448
"봉화군",31628,31262,31082,30872,30308,29945,29168,28798
"울진군",49387,49043,48504,48057,47651,47151,46369,45954
"울릉군",8770,8490,8702,8729,8704,8444,8169,8288
"경상남도",3334524,3339633,3345293,3350350,3347209,3333056,3305931,3280829
"진주시",349788,352807,353209,352333,354166,352403,353389,351119
"통영시",137208,136035,132962,131407,129931,127984,124829,123006
"사천시",113335,112394,111655,112248,111110,111184,109646,109350
"김해시",534124,532912,536456,539401,549331,552427,547995,547313
"밀양시",103069,103941,103894,103762,103402,103228,101837,101574
"거제시",261371,262986,257847,252889,251226,246965,242426,236686
"양산시",297532,310731,332596,344993,347221,351206,352610,352842
"창원시",1059241,1053551,1045559,1044215,1036862,1029389,1025702,1016751
"의창구",255200,250789,250560,251931,256001,262203,216915,215053
"성산구",234908,230552,226726,225894,219951,213607,249909,246438
"마산합포구",178945,179019,178751,178431,177579,172632,180049,179191
"마산회원구",208766,208288,202864,197683,192446,190389,186464,183667
"진해구",181422,184903,186658,190276,190885,190558,192365,192402
"의령군",27069,26568,26292,26401,26040,25965,25325,25032
"함안군",69355,68799,67906,67520,66611,65279,63233,62409
"창녕군",61635,61979,62544,62703,62370,61302,59664,58804
"고성군",53882,53123,52439,51778,50887,50016,48803,48298
"남해군",44248,43568,42986,42696,42169,41587,40870,40491
"하동군",44918,43927,43441,43001,42583,41772,40167,39542
"산청군",34034,33765,34033,34122,33579,33500,33014,32811
"함양군",38454,38076,37942,38005,37384,37114,36541,36017
"거창군",60464,60658,60083,60020,59888,59595,59238,58702
"합천군",44797,43813,43449,42856,42449,42140,40642,40082
"제주특별자치도",605619,623332,641757,658282,665048,670858,673107,676375
"제주시",451758,462286,472399,482932,487688,492306,493869,495281
"서귀포시",153861,161046,169358,175350,177360,178552,179238,181094
